dataman+    2107  0.0  0.0   6044   460 ?        Ss   11:11   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
root        2125  0.0  0.0   9840  3804 ?        Ss   11:11   0:00 bash /usr/local/bin/isanteplus-monitor.sh
dataman+    2149  0.0  0.0 305424  6724 ?        Ssl  11:11   0:00 /usr/libexec/at-spi-bus-launcher
dataman+    2154  0.0  0.0   7248  4284 ?        S    11:11   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
root        2181  0.0  0.0      0     0 ?        I<   11:11   0:00 [dio/sda2]
dataman+    2212  0.0  0.0  90072  4312 ?        Ssl  11:11   0:00 /usr/libexec/gnome-session-ctl --monitor
dataman+    2222  0.0  0.0 410400 15428 ?        Ssl  11:11   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
root        2464  0.0  0.0   2496   572 ?        S    11:11   0:00 bpfilter_umh
dataman+    2594  0.0  0.0 310964  8360 ?        Sl   11:11   0:00 ibus-daemon --panel disable --xim
dataman+    2661  0.0  0.0 162716  6840 ?        Sl   11:11   0:00 /usr/libexec/ibus-memconf
dataman+    2672  0.0  0.0 197916 28008 ?        Sl   11:11   0:00 /usr/libexec/ibus-x11 --kill-daemon
dataman+    2675  0.0  0.0 236516  7220 ?        Sl   11:11   0:00 /usr/libexec/ibus-portal
dataman+    2684  0.0  0.0 162920  6392 ?        Sl   11:11   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
dataman+    2790  0.0  0.0 235608  4604 ?        Ssl  11:11   0:00 /usr/libexec/xdg-permission-store
dataman+    2814  0.0  0.0 581224 20000 ?        Sl   11:11   0:00 /usr/libexec/gnome-shell-calendar-server
dataman+    2822  0.0  0.0 390372 25184 ?        Ssl  11:11   0:00 /usr/libexec/evolution-source-registry
dataman+    2831  0.0  0.0 156236  5624 ?        Sl   11:11   0:00 /usr/libexec/dconf-service
dataman+    2872  0.0  0.0 838792 30172 ?        Ssl  11:11   0:00 /usr/libexec/evolution-calendar-factory
